ISO3,Production,Imports_Original,Imports_Shocked,Population,Availability_Baseline,Availability_After_Shock,Percent_Drop,Severity
AGO,10563,69398533.246733,51012312.0524276,35635029,1947.7771786500582,1431.8179747356905,-0.2648964211973992,High
AGO,8097,69398533.246733,51012312.0524276,35635029,1947.7079770787616,1431.748773164394,-0.2649058329001767,High
ATG,47.45,2653079.063387,1461556.6733846,92840,28577.407511708316,15743.258545719516,-0.44910123357867854,Critical
ARG,59037179,359634882.89031,239939496.15861,45407904,9220.246367026983,5804.151800501736,-0.37049927198710497,Critical
ARG,1222426,359634882.89031,239939496.15861,45407904,7947.0153233743185,5294.85938304067,-0.3337298133216054,Critical
ARG,22150287,359634882.89031,239939496.15861,45407904,8407.901185888475,5479.213728046333,-0.3483256276557517,Critical
ARM,5154.1,33566179.42868,28220743.956212,2880874,11653.176615388249,9797.685721837193,-0.1592261882567577,High
ARM,0,33566179.42868,28220743.956212,2880874,11651.387540267295,9795.896646716239,-0.15925063750033747,High
ARM,138612.8,33566179.42868,28220743.956212,2880874,11699.502383193434,9844.011489642378,-0.1585957105506047,High
NA,389490242.37,0,0,5343,72897294.09882088,72897294.09882088,0,Low
NA,389490242.37,0,0,12077154,32250.167743990016,32250.167743990016,0,Low
NA,389490242.37,0,0,7465915,52169.12359302242,52169.12359302242,0,Low
NA,389490242.37,0,0,704356,552973.5565111961,552973.5565111961,0,Low
NA,389490242.37,0,0,1425179569,273.29204743181384,273.29204743181384,0,Low
NA,389490242.37,0,0,23420111,16630.589085167016,16630.589085167016,0,Low
NA,389490242.37,0,0,30395002,12814.285795079073,12814.285795079073,0,Low
NA,389490242.37,0,0,185345,2101433.7714532358,2101433.7714532358,0,Low
NA,389490242.37,0,0,102396968,3803.728274161399,3803.728274161399,0,Low
NA,389490242.37,0,0,89524246,4350.667665718179,4350.667665718179,0,Low
NA,389490242.37,0,0,112114,3474055.3576716557,3474055.3576716557,0,Low
NA,389490242.37,0,0,17904421,21753.85857883927,21753.85857883927,0,Low
NA,389490242.37,0,0,871540,446898.8713885765,446898.8713885765,0,Low
NA,389490242.37,0,0,10920,35667604.61263736,35667604.61263736,0,Low
NA,389490242.37,0,0,87058473,4473.892419064138,4473.892419064138,0,Low
NA,389490242.37,0,0,86507,4502413.0113170035,4502413.0113170035,0,Low
NA,389490242.37,0,0,28213017,13805.338236956366,13805.338236956366,0,Low
NA,389490242.37,0,0,11478,33933633.24359644,33933633.24359644,0,Low
NA,389490242.37,0,0,8021406686,48.5563514750834,48.5563514750834,0,Low
NA,389490242.37,0,0,475299909,819.4620596277034,819.4620596277034,0,Low
NA,389490242.37,0,0,199713824,1950.241773799294,1950.241773799294,0,Low
NA,389490242.37,0,0,264719925,1471.3295282551928,1471.3295282551928,0,Low
NA,389490242.37,0,0,71212991,5469.370642921037,5469.370642921037,0,Low
NA,389490242.37,0,0,435937001,893.4553421171973,893.4553421171973,0,Low
NA,389490242.37,0,0,1034848565,376.374143563701,376.374143563701,0,Low
NA,389490242.37,0,0,380481775,1023.6764753581167,1023.6764753581167,0,Low
NA,389490242.37,0,0,179821109,2165.9873222670426,2165.9873222670426,0,Low
NA,389490242.37,0,0,44052902,8841.420762019265,8841.420762019265,0,Low
NA,389490242.37,0,0,430492778,904.7544169718917,904.7544169718917,0,Low
NA,389490242.37,0,0,4747661033,82.0383425991735,82.0383425991735,0,Low
NA,389490242.37,0,0,79341768,4909.018946615861,4909.018946615861,0,Low
NA,389490242.37,0,0,1663264901,234.17210459730612,234.17210459730612,0,Low
NA,389490242.37,0,0,2022467287,192.5817267223863,192.5817267223863,0,Low
NA,389490242.37,0,0,684898412,568.6832317695606,568.6832317695606,0,Low
NA,389490242.37,0,0,297688665,1308.3811651679785,1308.3811651679785,0,Low
NA,389490242.37,0,0,746964086,521.4310161225073,521.4310161225073,0,Low
NA,389490242.37,0,0,289050977,1347.4794183795477,1347.4794183795477,0,Low
NA,389490242.37,0,0,107439461,3625.2065930412664,3625.2065930412664,0,Low
NA,389490242.37,0,0,151975351,2562.851408515582,2562.851408515582,0,Low
NA,389490242.37,0,0,198498297,1962.1843021151965,1962.1843021151965,0,Low
NA,389490242.37,0,0,45049350,8645.85709605133,8645.85709605133,0,Low
NA,389490242.37,0,0,31332719,12430.783372805916,12430.783372805916,0,Low
NA,389490242.37,0,0,12503827,31149.682602774334,31149.682602774334,0,Low
NA,389490242.37,0,0,449113453,867.2424300992827,867.2424300992827,0,Low
NA,389490242.37,0,0,1134811910,343.2200869040932,343.2200869040932,0,Low
NA,389490242.37,0,0,566128954,687.9885574091305,687.9885574091305,0,Low
NA,389490242.37,0,0,72230332,5392.336316133782,5392.336316133782,0,Low
NA,389490242.37,0,0,1039281637,374.76871379571963,374.76871379571963,0,Low
NA,389490242.37,0,0,1780529299,218.74969571618377,218.74969571618377,0,Low
NA,710854812.26,0,0,5343,133044134.804417,133044134.804417,0,Low
